source_mat_id_orig,source_mat_id,source_mat_id_an,ref_code,ref_code_sam,ref_code_seq,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,instrument_model,dna_conc,dna_quant,dna_conc_method,library_source,run,reads_name,reads_name_rsq,mock_pr,mock_eu,url_seq,sop_seq,ENA_accesion_number_umbrella,ENA_accesion_number_project,extraction_blank,pcr_blank_1,pcr_blank_2,seq_batch,comment,flowcell,no_cycl_R1,lane,tag,dna_quant_lib,run_date,hom_percentage,QC_valid,QC_summary,bioinf_valid
EMOBON_AAOT_Wa_221018_3um_1,EMOBON_AAOT_Wa_161,EMOBON_AAOT_Wa_161_metag,EMOBON040001,DBD_AAQT,DBB_AAQP,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740969,metag,64856761,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,1.099,107.7,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241126_ALITA_22JKTYLT4,DBB_AAQPOSDA_1_22JKTYLT4.UDI037,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,1,NA,50,26/11/2024,0.35,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_221018_3um_2,EMOBON_AAOT_Wa_162,EMOBON_AAOT_Wa_162_metag,EMOBON040002,DBD_AAQU,DBB_AAQQ,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740970,metag,63643703,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.867,85,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQQOSDA_4_22JJHYLT4.UDI304,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,4,NA,10,10/12/2024,0.07,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_AAOT_Wa_221018_0.2um_1,EMOBON_AAOT_Wa_166,EMOBON_AAOT_Wa_166_metag,EMOBON040003,DBD_AAQV,DBB_AAQR,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740967,metag,72466727,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,14.08,1379.8,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQROSDA_3_22JJHYLT4.UDI177,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,3,NA,100,10/12/2024,0.02,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_221018_0.2um_2,EMOBON_AAOT_Wa_167,EMOBON_AAOT_Wa_167_metag,EMOBON040004,DBD_AAQW,DBB_AAQS,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740968,metag,90879405,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,11.44,1121.1,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQSOSDA_2_22JJHYLT4.UDI175,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,2,NA,100,10/12/2024,0.01,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_221215_3um_1,EMOBON_AAOT_Wa_181,EMOBON_AAOT_Wa_181_metag,EMOBON040005,DBD_AAQX,DBB_AAQT,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740973,metag,87192374,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.913,89.5,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQTOSDA_4_22JJHYLT4.UDI305,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,4,NA,10,10/12/2024,0.01,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_221215_3um_2,EMOBON_AAOT_Wa_182,EMOBON_AAOT_Wa_182_metag,EMOBON040006,DBD_AAQY,DBB_AAQU,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740974,metag,67629517,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.124,12.1,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQUOSDA_4_22JJHYLT4.UDI290,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,4,NA,6.2,10/12/2024,0.16,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
EMOBON_AAOT_Wa_221215_0.2um_1,EMOBON_AAOT_Wa_186,EMOBON_AAOT_Wa_186_metag,EMOBON040007,DBD_AAQZ,DBB_AAQV,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740971,metag,72767242,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,10.65,1043.7,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQVOSDA_1_22JJHYLT4.UDI162,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,1,NA,100,10/12/2024,0.02,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_221215_0.2um_2,EMOBON_AAOT_Wa_187,EMOBON_AAOT_Wa_187_metag,EMOBON040008,DBD_AARA,DBB_AAQW,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740972,metag,64148021,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,2.89,283.2,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241126_ALITA_22JKTYLT4,DBB_AAQWOSDA_2_22JKTYLT4.UDI077,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,2,NA,100,26/11/2024,0.01,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_230215_3um_1,EMOBON_AAOT_Wa_201,EMOBON_AAOT_Wa_201_metag,EMOBON040009,DBD_AARB,DBB_AAQX,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740977,metag,84854830,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.86,84.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQXOSDA_5_22JJHYLT4.UDI306,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,5,NA,10,10/12/2024,0.15,Y,Adaptateurs/Kmers,Y
EMOBON_AAOT_Wa_230215_3um_2,EMOBON_AAOT_Wa_202,EMOBON_AAOT_Wa_202_metag,EMOBON040010,DBD_AARC,DBB_AAQY,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740978,metag,64643069,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.577,56.5,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_AAQYOSDA_4_22JJHYLT4.UDI307,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50566,NA,NA,NA,batch_4,NA,25B,151,4,NA,10,10/12/2024,0.11,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
