source_mat_id_orig,source_mat_id,source_mat_id_an,ref_code,ref_code_sam,ref_code_seq,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,instrument_model,dna_conc,dna_quant,dna_conc_method,library_source,run,reads_name,reads_name_rsq,mock_pr,mock_eu,url_seq,sop_seq,ENA_accesion_number_umbrella,ENA_accesion_number_project,extraction_blank,pcr_blank_1,pcr_blank_2,seq_batch,comment,flowcell,no_cycl_R1,lane,tag,dna_quant_lib,run_date,hom_percentage,QC_valid,QC_summary,bioinf_valid
EMOBON_Bergen_Wa_221025_3um_1,EMOBON_Bergen_Wa_31,EMOBON_Bergen_Wa_31_metag,EMOBON050001,DBD_ABAY,DBB_ABAU,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740993,metag,86103306,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,9.95,975.1,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABAUOSDA_1_22JJHYLT4.UDI185,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,1,NA,100,10/12/2024,0.18,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_221025_3um_2,EMOBON_Bergen_Wa_32,EMOBON_Bergen_Wa_32_metag,EMOBON050002,DBD_ABAZ,DBB_ABAV,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740994,metag,83916394,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,6.26,613.5,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241126_ALITA_22JKTYLT4,DBB_ABAVOSDA_4_22JKTYLT4.UDI084,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,4,NA,100,26/11/2024,0.15,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_221025_0.2um_1,EMOBON_Bergen_Wa_33,EMOBON_Bergen_Wa_33_metag,EMOBON050003,DBD_ABBA,DBB_ABAW,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740991,metag,78902044,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,12.85,1259.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABAWOSDA_2_22JJHYLT4.UDI129,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,2,NA,100,10/12/2024,0.03,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_221025_0.2um_2,EMOBON_Bergen_Wa_34,EMOBON_Bergen_Wa_34_metag,EMOBON050004,DBD_ABBB,DBB_ABAX,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740992,metag,92074649,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,10.95,1073.1,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABAXOSDA_2_22JJHYLT4.UDI127,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,2,NA,100,10/12/2024,0.03,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_230103_3um_1,EMOBON_Bergen_Wa_41,EMOBON_Bergen_Wa_41_metag,EMOBON050005,DBD_ABBC,DBB_ABAY,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740997,metag,84533137,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.513,50.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABAYOSDA_5_22JJHYLT4.UDI337,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,5,NA,10,10/12/2024,0.07,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_230103_3um_2,EMOBON_Bergen_Wa_42,EMOBON_Bergen_Wa_42_metag,EMOBON050006,DBD_ABBD,DBB_ABAZ,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740998,metag,61377748,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.717,70.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABAZOSDA_5_22JJHYLT4.UDI338,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,5,NA,10,10/12/2024,0.06,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_230103_0.2um_1,EMOBON_Bergen_Wa_43,EMOBON_Bergen_Wa_43_metag,EMOBON050007,DBD_ABBE,DBB_ABBA,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740995,metag,66762126,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,5.24,513.5,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241126_ALITA_22JKTYLT4,DBB_ABBAOSDA_4_22JKTYLT4.UDI070,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,4,NA,100,26/11/2024,0.01,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_230103_0.2um_2,EMOBON_Bergen_Wa_44,EMOBON_Bergen_Wa_44_metag,EMOBON050008,DBD_ABBF,DBB_ABBB,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-740996,metag,80990912,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,7.65,749.7,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241205_ALITA_22JYTLLT4,DBB_ABBBOSDA_7_22JYTLLT4.UDI123,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,7,NA,100,5/12/2024,NA,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_230227_3um_1,EMOBON_Bergen_Wa_51,EMOBON_Bergen_Wa_51_metag,EMOBON050009,DBD_ABBG,DBB_ABBC,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-741001,metag,96021035,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.181,17.7,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABBCOSDA_5_22JJHYLT4.UDI300,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,5,NA,9,10/12/2024,0.13,Y,Adaptateurs/Kmers,Y
EMOBON_Bergen_Wa_230227_3um_2,EMOBON_Bergen_Wa_52,EMOBON_Bergen_Wa_52_metag,EMOBON050010,DBD_ABBH,DBB_ABBD,https://www.protocols.io/view/cryogrinding-protocol-mecanic-lysis-of-planktonic-n92ldyq88l5b/v1; https://www.protocols.io/view/rna-dna-extraction-from-plankton-natural-samples-u-eq2lynz2qvx9/v1; https://www.fishersci.com/shop/products/nucleospin-rna-ii-740955-250/NC0707522; https://www.mn-net.com/lysis-buffer-ra1-741002,metag,67962056,PAIRED,metag,metag,metag,metag,NA,NA,NA,basic Genoscope QC,NovaSeq X Plus,0.146,14.3,Qubit dsDNA BR (Broad range) Assays kit; Qubit 2.0 Fluorometer,METAGENOMIC,241210_ALITA_22JJHYLT4,DBB_ABBDOSDA_4_22JJHYLT4.UDI301,NA,NA,NA,NA,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,PRJEB51688,PRJEB50569,NA,NA,NA,batch_5,NA,25B,151,4,NA,7.3,10/12/2024,0.09,Y,"Duplicat pairs > 20,Adaptateurs/Kmers",Y
